speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95
1.0,0.0,10,0.2578125,0.03370296362257249,0.00078125,0.0015312499999999998,0.11582391435373407,0.026639466473398606,0.001591934550842102,0.0005852907455848192
1.0,0.1,10,0.23984375,0.03778807320521251,0.00078125,0.0015312499999999998,0.3592096448862209,0.08971961615378049,0.024457323707503597,0.011699592058984893
1.0,0.2,10,0.2828125,0.051286081472245254,0.0015625,0.0020416666666666665,0.43134008547134417,0.05242221200061549,0.03361558644102956,0.010358531612556511
1.0,0.3,10,0.30546875,0.04327719345209759,0.0,0.0,0.4799619473154825,0.07240262325283393,0.032717013706729615,0.011002819372091854
1.0,0.4,10,0.26015625,0.03847133363018134,0.0015625,0.0020416666666666665,0.39562769979039747,0.08262120309765147,0.026749201804593385,0.01040907843431361
1.0,0.5,10,0.26796875,0.06255676328593496,0.00078125,0.0015312499999999998,0.4085931054794667,0.10381568333035075,0.029737680521914556,0.014176638206319423
1.0,0.6,10,0.28125,0.053044055981796866,0.0015625,0.0030624999999999997,0.44038456529397985,0.11170258789397161,0.03396563516083202,0.012962758786202741
1.0,0.7,10,0.2796875,0.05701150818889307,0.00078125,0.0015312499999999998,0.40069364562051,0.10235972830346274,0.02872708671556038,0.01599015510459469
1.0,0.8,10,0.26484375,0.048176952702525595,0.00078125,0.0015312499999999998,0.4218298605863632,0.09987674210115262,0.030270975339959576,0.013217315450799095
1.0,0.9,10,0.27421875,0.04556451589237994,0.0015625,0.0030624999999999997,0.3564358724355965,0.09614125602004973,0.016719907370951165,0.0071180028954341825
1.0,1.0,10,0.21953125,0.05340870833364213,0.00078125,0.0015312499999999998,0.3845437220631669,0.08718252973147404,0.021826928456531187,0.006833341207964175
1.1,0.0,10,0.22421875,0.031961214084092096,0.096875,0.007290208187470826,0.10745047019023601,0.025624334167979292,0.0011640281775446206,0.0003899670865929483
1.1,0.1,10,0.22890625,0.02985392133244159,0.09453125,0.009804783988569049,0.28695562376214206,0.08205394459027879,0.012244258017093432,0.004862330965052772
1.1,0.2,10,0.24921875,0.03419791666666667,0.09140625,0.00996293586980431,0.43017244753990863,0.050315016375335204,0.029976664360877953,0.008887605144048983
1.1,0.3,10,0.275,0.04704701770569523,0.08984375,0.005230214453458545,0.4225151248511073,0.07116696936842136,0.022185547132460844,0.005391193997968043
1.1,0.4,10,0.278125,0.05753009478138859,0.08984375,0.010271937271639657,0.36345755938772906,0.059365612878973545,0.022185686140565385,0.008531420230698101
1.1,0.5,10,0.2359375,0.03622160645672076,0.078125,0.008230221451388102,0.420595483446601,0.08143609151169241,0.027483706766980004,0.01176739469972752
1.1,0.6,10,0.20859375,0.040963918797268,0.09609375,0.011194311435141708,0.4504121862469108,0.08228731952109945,0.030513997116722442,0.012643885824381767
1.1,0.7,10,0.20234375,0.03795317753358516,0.0859375,0.012078662890495048,0.38662918656556367,0.06458913312886198,0.03194540808109466,0.013917374904133984
1.1,0.8,10,0.196875,0.054440190806057984,0.09140625,0.007923797501216053,0.35158347210602714,0.07799761162977517,0.01895035678396664,0.007297556050836869
1.1,0.9,10,0.23125,0.050693395156568476,0.09140625,0.011650477048232355,0.37364284345403653,0.10432615972356452,0.019997582867629184,0.008010137779644821
1.1,1.0,10,0.225,0.03998227688961419,0.09140625,0.007923797501216053,0.43266513229784886,0.11431941318542777,0.031241650799105437,0.008426933727622902
1.2,0.0,10,0.21171875,0.026170989309225796,0.20390625,0.011959444816232064,0.10482600049856872,0.026936045325259374,0.0019517258859609757,0.001495581545406089
1.2,0.1,10,0.228125,0.02784462096467946,0.1828125,0.012544210013432934,0.3353240904536687,0.07433909659862917,0.02063604726092328,0.007219233678528606
1.2,0.2,10,0.24765625,0.032766205768312406,0.16796875,0.015184359671906922,0.35126219339726733,0.08200145317423839,0.01897545082528408,0.007426767764831425
1.2,0.3,10,0.22109375,0.0440883013997194,0.1734375,0.011135976950357288,0.4155674445507674,0.0805685060874424,0.021538887460054293,0.005341347742863535
1.2,0.4,10,0.25703125,0.03279799447893541,0.17265625,0.01378125,0.3280108966991068,0.05616467885007641,0.014708016239809756,0.005025389026375862
1.2,0.5,10,0.23984375,0.06436311665535066,0.18203125,0.01331982144133947,0.36903499333301243,0.07570360620130144,0.022689768330231695,0.009178494052276106
1.2,0.6,10,0.215625,0.044508801603041256,0.17890625,0.010322538254079971,0.3247589811743293,0.07896184713582488,0.02310445016189703,0.01242764381608261
1.2,0.7,10,0.20625,0.033872597547034,0.17890625,0.017451473518055396,0.38088785056361535,0.08003992669282785,0.03103699602345733,0.011914225033959941
1.2,0.8,10,0.2265625,0.05333793111692028,0.1828125,0.0196626386235136,0.3720448831170351,0.09879327534818295,0.024771557272524645,0.013023281400320257
1.2,0.9,10,0.21953125,0.057947467267117116,0.18046875,0.011959444816232064,0.3410352948105815,0.08178698191375515,0.01882781030868081,0.008108137096253886
1.2,1.0,10,0.20078125,0.05022095385124785,0.19375,0.014758016300942646,0.3366679724535878,0.09598754382458437,0.0203440850258699,0.011825622431335598
