speed_ratio,angle_noise,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,chi_mean,chi_ci95,chi_local_mean,chi_local_ci95,rho1_P_mean,rho1_P_ci95,tau_P_ar1_mean,tau_P_ar1_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95
0.0,0.0,100,0.0,0.0,0.0,0.0,0.6915434077236248,0.028543318956861713,6.699818538475966,0.6226967980671299,0.39469758140751765,0.15476082095945845,0.9899999999999999,2.1869996013146937e-17,198.99999999999983,0.0,30.9,3.012941621094112,4.83,0.3127760640819982
0.0,0.2,100,0.0,0.0,0.0,0.0,0.6825990076440017,0.03049593860800039,6.617836121827274,0.6196095033109126,0.9836863087491012,0.21390861520772989,0.9899943549361783,1.106432509027706e-05,198.8931315176048,0.20946222549430674,28.5,2.764850079045148,9.86,0.7020162638767529
0.0,0.4,100,0.0,0.0,0.0,0.0,0.6805206019955118,0.022808040349145225,6.65521996799157,0.544068302176472,3.8613772159860615,0.42046739275276773,0.9899999999999999,2.1869996013146937e-17,198.99999999999983,0.0,20.8,1.7795498693135121,21.75,1.0042011750640405
0.0,0.6,100,0.0,0.0,0.0,0.0,0.5976614137882627,0.02545228056317586,5.559250720736075,0.5581209822896097,7.781659849526975,0.486717684126289,0.9899999999999999,2.1869996013146937e-17,198.99999999999983,0.0,20.45,1.606957335708661,32.61,1.1226191446071032
0.0,0.8,100,0.0,0.0,0.0,0.0,0.47166546241069995,0.020728759461126824,4.003206206636525,0.34522124384499125,12.340810010534481,0.6309037740799478,0.9899845532331608,3.0275663004351084e-05,198.7324001830123,0.5244956412956077,20.4,1.3517700479838508,43.94,1.275961535787063
0.0,1.0,100,0.0,0.0,0.0,0.0,0.3643540350145015,0.012928051618315785,3.0504135259904444,0.22694599046895989,18.051009619937187,0.7288577356069628,0.9897413185058089,0.000183415175761076,195.08556764228047,2.4867678511040996,18.8,1.0934132269405217,59.04,1.4001135792311545
0.0,1.2,100,0.0,0.0,0.0,0.0,0.29887282191398123,0.008373740834352009,2.7232091607223783,0.15165702710611326,24.737057876774962,0.5607384408230378,0.9848139547694381,0.0009929578734175337,142.5220703041519,7.598834996963063,15.85,0.6831658627007031,77.02,1.6196103264973862
0.0,1.4,100,0.0,0.0,0.0,0.0,0.3197574587128336,0.009394113355868988,3.3817822810549343,0.34264290893318833,27.037229805061283,0.9989373624739204,0.968094436899245,0.0018494241135943736,68.52419257309228,5.1052237870529344,11.6,0.6402848482266988,101.93,1.9009550607603278
0.0,1.6,100,0.0,0.0,0.0,0.0,0.38567765005041643,0.023494146155649938,9.80447852090006,0.8532668948631801,7.191779426201923,1.7887467597565008,0.9672256449272344,0.0035898016469404085,84.68864945188827,9.99718964071372,4.05,0.8292795705071998,124.27,1.0967281891189269
0.0,1.8,100,0.0,0.0,0.0,0.0,0.30734783486942574,0.026893747693811015,13.208498590182622,0.7095603979382101,0.5450306163095872,0.43387440129769256,0.9739639019041262,0.00323076466446338,97.63610812956784,8.18343497576535,0.8,0.5695627952893146,127.76,0.22307465435172463
0.0,2.0,100,0.0,0.0,0.0,0.0,0.19949236708641446,0.020149350380992644,11.431409581476188,0.697245894394359,0.03875,0.07594999999999999,0.9713911623262486,0.002639343064243354,77.84128079963318,4.797329628099548,0.125,0.245,128.0,0.0
0.0,2.2,100,0.0,0.0,0.0,0.0,0.16329242572819014,0.013278049419502147,10.869481719681167,0.7319427228270999,5.663694705178718e-171,0.0,0.9658873058545662,0.0021737907277388398,63.47115318374456,3.976782543832776,0.0,0.0,128.0,0.0
0.0,2.4,100,0.0,0.0,0.0,0.0,0.12989305690273076,0.011859741158753769,8.600650868582974,0.6928861149964501,5.162129345261885e-151,1.0117773516713298e-150,0.9534006758810105,0.0032679598195176547,47.426595232135305,3.3548084323230625,0.0,0.0,128.0,0.0
0.0,2.6,100,0.0,0.0,0.0,0.0,0.09375077492329222,0.007535554066453523,6.138452884335477,0.5364215145507178,5.7473448947942254e-185,0.0,0.9439478427391887,0.004324597907901964,40.8640510896409,3.485638103384874,0.0,0.0,128.0,0.0
0.0,2.8,100,0.0,0.0,0.0,0.0,0.08712123342525366,0.006641817894013526,5.838107871227736,0.5088229506793359,1.8639663996645393e-269,0.0,0.9363975763264795,0.004583712591086316,35.856074636410256,3.2419634152491907,0.0,0.0,128.0,0.0
0.0,3.0,100,0.0,0.0,0.0,0.0,0.07474574511805429,0.005903910784657374,5.019525432952915,0.5049213200481766,7.353005871974295e-303,0.0,0.9309677874034964,0.005616657198562468,34.670105935886696,3.680311313025805,0.0,0.0,128.0,0.0
