variant,speed_ratio,best_w,best_safe_mean,best_safe_ci95
p0_nearest,1.0,0.25,0.376171875,0.017378417414361174
p0_nearest,1.1,0.25,0.35690104166666664,0.017664455482421095
p0_nearest,1.2,0.3,0.3307291666666667,0.01802881781167795
p0_nearest,1.3,0.15,0.29466145833333335,0.011721091083640705
p0_nearest,1.4,0.2,0.271484375,0.01206929134521382
p1_full,1.0,0.4,0.40260416666666665,0.023510177414493703
p1_full,1.1,0.15,0.38580729166666666,0.01340800182406631
p1_full,1.2,0.3,0.36770833333333336,0.014671291067035706
p1_full,1.3,0.1,0.34479166666666666,0.012441353566725337
p1_full,1.4,0.15,0.303515625,0.010402170770880334
p1_gain05,1.0,0.15,0.38697916666666665,0.01640051178684043
p1_gain05,1.1,0.1,0.38059895833333335,0.012661017340915464
p1_gain05,1.2,0.1,0.37408854166666666,0.01237529624028969
p1_gain05,1.3,0.3,0.33880208333333334,0.019110639766229693
p1_gain05,1.4,0.1,0.3104166666666667,0.01114033785927875
p1_tmax2,1.0,0.15,0.38333333333333336,0.012980166437721112
p1_tmax2,1.1,0.2,0.3826822916666667,0.01426673429922171
p1_tmax2,1.2,0.1,0.376953125,0.011280709383125202
p1_tmax2,1.3,0.0,0.337109375,0.012985055701731342
p1_tmax2,1.4,0.15,0.3072916666666667,0.015401635575917613
