variant,speed_ratio,best_w_by_safe,best_safe_mean,best_w_by_chi_local,best_chi_local_mean,abs_dw_bestsafe_bestchilocal
p0_nearest,1.0,0.25,0.376171875,0.0,4.533535254885951,0.25
p0_nearest,1.1,0.25,0.35690104166666664,1.0,9.081073221946431,0.75
p0_nearest,1.2,0.3,0.3307291666666667,1.0,11.276945974361839,0.7
p0_nearest,1.3,0.15,0.29466145833333335,1.0,9.3422876398238,0.85
p0_nearest,1.4,0.2,0.271484375,1.0,8.790264725284997,0.8
p1_full,1.0,0.4,0.40260416666666665,0.0,5.058720512981774,0.4
p1_full,1.1,0.15,0.38580729166666666,0.0,5.434003803225918,0.15
p1_full,1.2,0.3,0.36770833333333336,1.0,7.477712201134724,0.7
p1_full,1.3,0.1,0.34479166666666666,1.0,6.436224638022143,0.9
p1_full,1.4,0.15,0.303515625,1.0,6.521077613856404,0.85
p1_gain05,1.0,0.15,0.38697916666666665,0.0,4.681283969787007,0.15
p1_gain05,1.1,0.1,0.38059895833333335,0.05,4.949884112991269,0.05
p1_gain05,1.2,0.1,0.37408854166666666,1.0,6.031983159881339,0.9
p1_gain05,1.3,0.3,0.33880208333333334,1.0,7.747846557802458,0.7
p1_gain05,1.4,0.1,0.3104166666666667,1.0,3.7635589185920897,0.9
p1_tmax2,1.0,0.15,0.38333333333333336,0.0,5.059977095060395,0.15
p1_tmax2,1.1,0.2,0.3826822916666667,0.0,5.619173878326197,0.2
p1_tmax2,1.2,0.1,0.376953125,1.0,6.636558220882254,0.9
p1_tmax2,1.3,0.0,0.337109375,1.0,9.343869079041179,1.0
p1_tmax2,1.4,0.15,0.3072916666666667,1.0,6.196647755315444,0.85
