variant,speed_ratio,delta_best_safe_vs_p0
p1_full,1.0,0.026432291666666663
p1_full,1.1,0.028906250000000022
p1_full,1.2,0.036979166666666674
p1_full,1.3,0.050130208333333315
p1_full,1.4,0.03203125000000001
p1_gain05,1.0,0.010807291666666663
p1_gain05,1.1,0.023697916666666707
p1_gain05,1.2,0.04335937499999998
p1_gain05,1.3,0.04414062499999999
p1_gain05,1.4,0.038932291666666674
p1_tmax2,1.0,0.00716145833333337
p1_tmax2,1.1,0.025781250000000033
p1_tmax2,1.2,0.046223958333333315
p1_tmax2,1.3,0.04244791666666664
p1_tmax2,1.4,0.035807291666666685
