variant,speed_ratio,n_runs,corr_safe_chi,corr_safe_chi_local,gain_highQ_minus_lowQ_by_chi,safe_lowQ_chi,safe_highQ_chi,gain_highQ_minus_lowQ_by_chi_local,safe_lowQ_chi_local,safe_highQ_chi_local
p0_nearest,1.0,1260,-0.04661102640941992,0.11026786057144568,-0.015798611111111138,0.27318948412698413,0.257390873015873,0.11426091269841271,0.18745039682539683,0.30171130952380953
p0_nearest,1.1,1260,-0.25252468778460857,-0.018602465335470466,-0.07576884920634924,0.27356150793650796,0.19779265873015872,0.12103174603174605,0.1554563492063492,0.27648809523809526
p0_nearest,1.2,1260,-0.2827471190172787,-0.07690567442742059,-0.09270833333333336,0.26733630952380955,0.17462797619047618,0.10173611111111111,0.14722222222222223,0.24895833333333334
p0_nearest,1.3,1260,-0.3622503979458186,-0.0699251113798115,-0.10128968253968254,0.2446924603174603,0.14340277777777777,0.11356646825396827,0.1282986111111111,0.24186507936507937
p0_nearest,1.4,1260,-0.4279981432706886,-0.07076599023104378,-0.10865575396825397,0.23196924603174604,0.12331349206349207,0.10466269841269843,0.11872519841269841,0.22338789682539684
p1_full,1.0,1260,-0.45635575966577213,0.2640841031651714,-0.17534722222222218,0.335515873015873,0.1601686507936508,0.20654761904761904,0.1259920634920635,0.3325396825396825
p1_full,1.1,1260,-0.48628995785092705,0.1946921394191938,-0.1855902777777778,0.32829861111111114,0.14270833333333333,0.22490079365079363,0.1132688492063492,0.33816964285714285
p1_full,1.2,1260,-0.5456152635582945,0.14255515319606746,-0.20877976190476188,0.3354662698412698,0.12668650793650793,0.20843253968253966,0.11376488095238095,0.32219742063492063
p1_full,1.3,1260,-0.5686659242037551,0.11426543080718084,-0.1979662698412698,0.30297619047619045,0.10500992063492064,0.1920138888888889,0.10188492063492063,0.29389880952380953
p1_full,1.4,1260,-0.575400112193206,0.048860875095841236,-0.172594246031746,0.2696924603174603,0.09709821428571429,0.17120535714285717,0.08732638888888888,0.25853174603174606
p1_gain05,1.0,1260,-0.4208599494789081,0.28583513902881524,-0.15429067460317464,0.3291914682539683,0.17490079365079364,0.18812003968253968,0.1431299603174603,0.33125
p1_gain05,1.1,1260,-0.44506797676597154,0.23396455517988413,-0.1782490079365079,0.32760416666666664,0.14935515873015873,0.2223214285714286,0.11706349206349206,0.33938492063492065
p1_gain05,1.2,1260,-0.5033771941395365,0.16507978343863203,-0.18965773809523812,0.32202380952380955,0.13236607142857143,0.2123511904761905,0.10592757936507936,0.31827876984126985
p1_gain05,1.3,1260,-0.5298689392641095,0.04431524234656547,-0.1884176587301587,0.30143849206349205,0.11302083333333333,0.18506944444444445,0.10560515873015873,0.2906746031746032
p1_gain05,1.4,1260,-0.5710223173855093,0.10081198332277698,-0.1718005952380952,0.26825396825396824,0.09645337301587302,0.17971230158730161,0.08328373015873015,0.26299603174603176
p1_tmax2,1.0,1260,-0.3938222663003026,0.28653918579653515,-0.14863591269841267,0.3251736111111111,0.17653769841269842,0.20910218253968255,0.13345734126984127,0.3425595238095238
p1_tmax2,1.1,1260,-0.4455827228575321,0.35249275775719735,-0.16696428571428573,0.32683531746031746,0.15987103174603173,0.21113591269841273,0.12854662698412697,0.3396825396825397
p1_tmax2,1.2,1260,-0.4502643700764901,0.17126234423448178,-0.17475198412698414,0.32356150793650795,0.1488095238095238,0.19494047619047616,0.12202380952380952,0.3169642857142857
p1_tmax2,1.3,1260,-0.5008886410257923,0.041769681590405915,-0.16743551587301586,0.2923363095238095,0.12490079365079365,0.16887400793650795,0.11651785714285715,0.2853918650793651
p1_tmax2,1.4,1260,-0.5410335062583802,0.009578894336175973,-0.16495535714285717,0.2684275793650794,0.10347222222222222,0.1661954365079365,0.09206349206349207,0.25825892857142857
