variant,speed_ratio,n,safe_mean,safe_ci95,pred_entropy_var_mean,branch_ratio_mean,delta_safe_vs_baseline,delta_pred_entropy_var_vs_baseline
baseline,1.0,200,0.3794921875,0.008139926807792812,0.0,0.0,0.0,0.0
baseline,1.1,200,0.3723828125,0.008074409831704083,0.0,0.0,0.0,0.0
baseline,1.2,200,0.361328125,0.00739059777609273,0.0,0.0,0.0,0.0
baseline,1.3,200,0.3314453125,0.006802588566130041,0.0,0.0,0.0,0.0
baseline,1.4,200,0.2969921875,0.0061590291653313735,0.0,0.0,0.0,0.0
soc_v3_eg14_th028,1.0,200,0.37421875,0.0076585580691877365,0.03231595612471729,1.003681084204957,-0.005273437500000033,0.03231595612471729
soc_v3_eg14_th028,1.1,200,0.3722265625,0.008500655509261322,0.03217380968490581,1.0035593194829162,-0.00015624999999996891,0.03217380968490581
soc_v3_eg14_th028,1.2,200,0.3608984375,0.008123452058739555,0.03254003070794794,1.003779891016113,-0.0004296874999999978,0.03254003070794794
soc_v3_eg14_th028,1.3,200,0.32078125,0.00693909373811934,0.03326512094104938,1.0046084813557579,-0.01066406249999996,0.03326512094104938
soc_v3_eg14_th028,1.4,200,0.2896875,0.0068560058252787595,0.0341849447711501,1.0069821300902462,-0.007304687500000018,0.0341849447711501
soc_v3_eg14_th036,1.0,200,0.3726171875,0.007844155777626668,0.03261980649895125,1.004089933284866,-0.00687500000000002,0.03261980649895125
soc_v3_eg14_th036,1.1,200,0.37015625,0.008060741549892964,0.03276165679329496,1.0039835273406117,-0.0022265624999999734,0.03276165679329496
soc_v3_eg14_th036,1.2,200,0.3658203125,0.008775868761235412,0.03323764289143982,1.0043132975741818,0.004492187500000022,0.03323764289143982
soc_v3_eg14_th036,1.3,200,0.320703125,0.007344218668221634,0.03418433629212711,1.0053373283185385,-0.0107421875,0.03418433629212711
soc_v3_eg14_th036,1.4,200,0.2848828125,0.00754375580181001,0.03469735300296411,1.0080037286219428,-0.012109374999999978,0.03469735300296411
